date|category|test_sponsor_name|test_sponsor_url|software_name|software_version|software_url|specification_version|specification_url|driver_version|driver_url|full_disclosure_report|executive_summary|signatures|supplementary_package|throughput_at_largest_sf|query_implementation|scale_factor|throughput|price|currency|price_in_usd|throughput_per_thousand_usd|hardware
2025-04-21|declarative|Alibaba Cloud|https://www.alibabacloud.com/|GraphScope Flex|0.31.3|https://github.com/alibaba/GraphScope|2.2.4|https://arxiv.org/pdf/2001.02299v11.pdf|1.2.0|https://github.com/ldbc/ldbc_snb_interactive_v1_driver/releases/tag/v1.2.0|LDBC_SNB_I_20250421_SF30-100-300_graphscope-v2.pdf|LDBC_SNB_I_20250421_SF30-100-300_graphscope-executive_summary.pdf|LDBC_SNB_I_20250421_SF30-100-300_graphscope-signatures-v2.pdf|https://datasets.ldbcouncil.org/audits/LDBC_SNB_I_20250421_SF30-100-300_graphscope-attachments.tar.gz|80510.79|Cypher|30|37650.0|808444.48|RMB|110745.82|339.97|Alibaba Cloud ecs.g8a.48xlarge: 96×AMD EPYC 9T24 @ 3.7GHz vCPUs 768 GiB RAM
2025-04-21|declarative|Alibaba Cloud|https://www.alibabacloud.com/|GraphScope Flex|0.31.3|https://github.com/alibaba/GraphScope|2.2.4|https://arxiv.org/pdf/2001.02299v11.pdf|1.2.0|https://github.com/ldbc/ldbc_snb_interactive_v1_driver/releases/tag/v1.2.0|LDBC_SNB_I_20250421_SF30-100-300_graphscope-v2.pdf|LDBC_SNB_I_20250421_SF30-100-300_graphscope-executive_summary.pdf|LDBC_SNB_I_20250421_SF30-100-300_graphscope-signatures-v2.pdf|https://datasets.ldbcouncil.org/audits/LDBC_SNB_I_20250421_SF30-100-300_graphscope-attachments.tar.gz|80510.79|Cypher|100|79244.18|808444.48|RMB|110745.82|715.55|Alibaba Cloud ecs.g8a.48xlarge: 96×AMD EPYC 9T24 @ 3.7GHz vCPUs 768 GiB RAM
2025-04-21|declarative|Alibaba Cloud|https://www.alibabacloud.com/|GraphScope Flex|0.31.3|https://github.com/alibaba/GraphScope|2.2.4|https://arxiv.org/pdf/2001.02299v11.pdf|1.2.0|https://github.com/ldbc/ldbc_snb_interactive_v1_driver/releases/tag/v1.2.0|LDBC_SNB_I_20250421_SF30-100-300_graphscope-v2.pdf|LDBC_SNB_I_20250421_SF30-100-300_graphscope-executive_summary.pdf|LDBC_SNB_I_20250421_SF30-100-300_graphscope-signatures-v2.pdf|https://datasets.ldbcouncil.org/audits/LDBC_SNB_I_20250421_SF30-100-300_graphscope-attachments.tar.gz|80510.79|Cypher|300|80510.79|808444.48|RMB|110745.82|726.99|Alibaba Cloud ecs.g8a.48xlarge: 96×AMD EPYC 9T24 @ 3.7GHz vCPUs 768 GiB RAM
2024-05-14|imperative|Alibaba Cloud|https://www.alibabacloud.com/|GraphScope Flex|0.26.1|https://github.com/alibaba/GraphScope|0.3.6|https://arxiv.org/pdf/2001.02299v1.pdf|1.2.0|https://github.com/ldbc/ldbc_snb_interactive_v1_driver/releases/tag/v1.2.0|LDBC_SNB_I_20240514_SF100-300-1000_graphscope.pdf|LDBC_SNB_I_20240514_SF100-300-1000_graphscope-executive_summary.pdf|LDBC_SNB_I_20240514_SF100-300-1000_graphscope-signatures.pdf|https://datasets.ldbcouncil.org/audits/LDBC_SNB_I_20240514_SF100-300-1000_graphscope-attachments.tar.gz|127784.51|C++|100|130098.36|738724|RMB|102128.22|1273.87|Alibaba Cloud ecs.r8a.16xlarge: 64×AMD EPYC 9T24 @ 3.7GHz vCPUs 512 GiB RAM
2024-05-14|imperative|Alibaba Cloud|https://www.alibabacloud.com/|GraphScope Flex|0.26.1|https://github.com/alibaba/GraphScope|0.3.6|https://arxiv.org/pdf/2001.02299v1.pdf|1.2.0|https://github.com/ldbc/ldbc_snb_interactive_v1_driver/releases/tag/v1.2.0|LDBC_SNB_I_20240514_SF100-300-1000_graphscope.pdf|LDBC_SNB_I_20240514_SF100-300-1000_graphscope-executive_summary.pdf|LDBC_SNB_I_20240514_SF100-300-1000_graphscope-signatures.pdf|https://datasets.ldbcouncil.org/audits/LDBC_SNB_I_20240514_SF100-300-1000_graphscope-attachments.tar.gz|127784.51|C++|300|131263.87|738724|RMB|102128.22|1285.29|Alibaba Cloud ecs.r8a.16xlarge: 64×AMD EPYC 9T24 @ 3.7GHz vCPUs 512 GiB RAM
2024-05-14|imperative|Alibaba Cloud|https://www.alibabacloud.com/|GraphScope Flex|0.26.1|https://github.com/alibaba/GraphScope|0.3.6|https://arxiv.org/pdf/2001.02299v1.pdf|1.2.0|https://github.com/ldbc/ldbc_snb_interactive_v1_driver/releases/tag/v1.2.0|LDBC_SNB_I_20240514_SF100-300-1000_graphscope.pdf|LDBC_SNB_I_20240514_SF100-300-1000_graphscope-executive_summary.pdf|LDBC_SNB_I_20240514_SF100-300-1000_graphscope-signatures.pdf|https://datasets.ldbcouncil.org/audits/LDBC_SNB_I_20240514_SF100-300-1000_graphscope-attachments.tar.gz|127784.51|C++|1000|127784.51|738724|RMB|102128.22|1251.22|Alibaba Cloud ecs.r8a.16xlarge: 64×AMD EPYC 9T24 @ 3.7GHz vCPUs 512 GiB RAM
2023-12-25|imperative|StarGraph|https://www.stargraph.cn/|AtlasGraph|3.0.0|https://atlasgraph.io/|0.3.6|https://arxiv.org/pdf/2001.02299v1.pdf|1.2.0|https://github.com/ldbc/ldbc_snb_interactive_v1_driver/releases/tag/v1.2.0|LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph.pdf|LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph-executive_summary.pdf|LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph-signatures.pdf|https://datasets.ldbcouncil.org/audits/LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph-attachments.tar.gz|48311.63|Rust|30|37631.25|2032461|RMB|284797.99|132.13|AWS EC2 r5d.12xlarge: 48×Intel Xeon Platinum 8259CL vCPUs 384 GiB RAM
2023-12-25|imperative|StarGraph|https://www.stargraph.cn/|AtlasGraph|3.0.0|https://atlasgraph.io/|0.3.6|https://arxiv.org/pdf/2001.02299v1.pdf|1.2.0|https://github.com/ldbc/ldbc_snb_interactive_v1_driver/releases/tag/v1.2.0|LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph.pdf|LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph-executive_summary.pdf|LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph-signatures.pdf|https://datasets.ldbcouncil.org/audits/LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph-attachments.tar.gz|48311.63|Rust|100|48764.08|2032461|RMB|284797.99|171.22|AWS EC2 r5d.12xlarge: 48×Intel Xeon Platinum 8259CL vCPUs 384 GiB RAM
2023-12-25|imperative|StarGraph|https://www.stargraph.cn/|AtlasGraph|3.0.0|https://atlasgraph.io/|0.3.6|https://arxiv.org/pdf/2001.02299v1.pdf|1.2.0|https://github.com/ldbc/ldbc_snb_interactive_v1_driver/releases/tag/v1.2.0|LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph.pdf|LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph-executive_summary.pdf|LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph-signatures.pdf|https://datasets.ldbcouncil.org/audits/LDBC_SNB_I_20231225_SF30-100-300_AtlasGraph-attachments.tar.gz|48311.63|Rust|300|48311.63|2032461|RMB|284797.99|169.64|AWS EC2 r5d.12xlarge: 48×Intel Xeon Platinum 8259CL vCPUs 384 GiB RAM
2023-07-13|imperative|Alibaba DAMO|https://damo.alibaba.com/|GraphScope Flex|0.23.0|https://github.com/alibaba/GraphScope|0.3.6|https://arxiv.org/pdf/2001.02299v1.pdf|1.2.0|https://github.com/ldbc/ldbc_snb_interactive_v1_driver/releases/tag/v1.2.0|LDBC_SNB_I_20230713_SF30-100-300_GraphScopeFlex.pdf|LDBC_SNB_I_20230713_SF30-100-300_GraphScopeFlex-executive_summary.pdf|LDBC_SNB_I_20230713_SF30-100-300_GraphScopeFlex-signatures.pdf|https://datasets.ldbcouncil.org/audits/LDBC_SNB_I_20230713_SF30-100-300_GraphscopeFlex-attachments.tar.gz|33261.38|C++|30|33180.87|99236|USD|99236|334.36|AWS EC2 r5d.12xlarge: 48×Intel Xeon Platinum 8175M vCPUs 384 GiB RAM
